"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"212","evm.TU.chromosome_4.275","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"213","evm.TU.chromosome_4.275","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"214","evm.TU.chromosome_4.2503","GO:0033387","putrescine biosynthetic process from ornithine",1,1,0.01,0.0088,"Biological Processes",1
"215","evm.TU.chromosome_4.2337","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Biological Processes",0.0666666666666667
"216","evm.TU.chromosome_4.749","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"217","evm.TU.chromosome_4.2000","GO:0007172","signal complex assembly",2,1,0.02,0.0174,"Biological Processes",0.5
"218","evm.TU.chromosome_4.2000","GO:0007172","signal complex assembly",2,1,0.02,0.0174,"Biological Processes",0.5
"219","evm.TU.chromosome_4.1133","GO:0034983","peptidyl-lysine deacetylation",4,1,0.04,0.0346,"Biological Processes",0.25
"220","evm.TU.chromosome_4.29","GO:1902990","mitotic telomere maintenance via semi-conservative ...",2,1,0.02,0.0174,"Biological Processes",0.5
"221","evm.TU.chromosome_4.29","GO:1904430","negative regulation of t-circle formation",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"222","evm.TU.chromosome_4.29","GO:1904535","positive regulation of telomeric loop disassembly",1,1,0.01,0.0088,"Biological Processes",1
"223","evm.TU.chromosome_4.774","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"224","evm.TU.chromosome_4.984","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"225","evm.TU.chromosome_4.1474","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"226","evm.TU.chromosome_4.1477","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"227","evm.TU.chromosome_4.2360","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Biological Processes",0.0810810810810811
"228","evm.TU.chromosome_4.2280","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"229","evm.TU.chromosome_4.2280","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Biological Processes",0.0666666666666667
"230","evm.TU.chromosome_4.855_evm.TU.chromosome_4.856","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"231","evm.TU.chromosome_4.1630","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"232","evm.TU.chromosome_4.1433","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"233","evm.TU.chromosome_4.1389","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"234","evm.TU.chromosome_4.1848","GO:0090400","stress-induced premature senescence",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"235","evm.TU.chromosome_4.972","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"236","evm.TU.chromosome_4.972","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"237","evm.TU.chromosome_4.972","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"238","evm.TU.chromosome_4.1643","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"239","evm.TU.chromosome_4.1589","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"240","evm.TU.chromosome_4.840","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"241","evm.TU.chromosome_4.1318","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Biological Processes",0.0666666666666667
"242","evm.TU.chromosome_4.2389","GO:0042843","D-xylose catabolic process",4,1,0.04,0.0346,"Biological Processes",0.25
"243","evm.TU.chromosome_4.2022_evm.TU.chromosome_4.2023","GO:0061743","motor learning",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"244","evm.TU.chromosome_4.1656","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"245","evm.TU.chromosome_4.2460","GO:0061303","cornea development in camera-type eye",4,1,0.04,0.0346,"Biological Processes",0.25
"246","evm.TU.chromosome_4.926","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"247","evm.TU.chromosome_4.926","GO:0090073","positive regulation of protein homodimerization act...",35,2,0.31,0.0375,"Biological Processes",0.0571428571428571
"248","evm.TU.chromosome_4.927","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"249","evm.TU.chromosome_4.927","GO:0090073","positive regulation of protein homodimerization act...",35,2,0.31,0.0375,"Biological Processes",0.0571428571428571
"250","evm.TU.chromosome_4.928","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"251","evm.TU.chromosome_4.928","GO:0090073","positive regulation of protein homodimerization act...",35,2,0.31,0.0375,"Biological Processes",0.0571428571428571
"252","evm.TU.chromosome_4.9","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"253","evm.TU.chromosome_4.1219","GO:0070842","aggresome assembly",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"254","evm.TU.chromosome_4.1002","GO:0000375","RNA splicing, via transesterification reactions",208,7,1.82,0.017,"Biological Processes",0.0336538461538462
"255","evm.TU.chromosome_4.1005","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"256","evm.TU.chromosome_4.1005","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"257","evm.TU.chromosome_4.1006","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"258","evm.TU.chromosome_4.235","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"259","evm.TU.chromosome_4.1906","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"260","evm.TU.chromosome_4.627","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"261","evm.TU.chromosome_4.1557","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"262","evm.TU.chromosome_4.815","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"263","evm.TU.chromosome_4.54","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"264","evm.TU.chromosome_4.1824","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"265","evm.TU.chromosome_4.138","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"266","evm.TU.chromosome_4.138","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"267","evm.TU.chromosome_4.788","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"268","evm.TU.chromosome_4.2439","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"269","evm.TU.chromosome_4.825","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"270","evm.TU.chromosome_4.64","GO:0006958","complement activation, classical pathway",12,2,0.11,0.0047,"Biological Processes",0.166666666666667
"271","evm.TU.chromosome_4.64","GO:0030449","regulation of complement activation",8,2,0.07,0.0021,"Biological Processes",0.25
"272","evm.TU.chromosome_4.542","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"273","evm.TU.chromosome_4.2325","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"274","evm.TU.chromosome_4.1099","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"275","evm.TU.chromosome_4.735","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"276","evm.TU.chromosome_4.1481","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"277","evm.TU.chromosome_5.1579","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"278","evm.TU.chromosome_5.1772","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"279","evm.TU.chromosome_5.531","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"280","evm.TU.chromosome_5.531","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"281","evm.TU.chromosome_5.1408","GO:1901657","glycosyl compound metabolic process",109,3,0.95,0.0343,"Biological Processes",0.0275229357798165
"282","evm.TU.chromosome_5.456","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"283","evm.TU.chromosome_5.454","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"284","evm.TU.chromosome_5.879","GO:0006139","nucleobase-containing compound metabolic process",5768,62,50.52,0.0156,"Biological Processes",0.010748959778086
"285","evm.TU.chromosome_5.1219","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"286","evm.TU.chromosome_5.1211","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"287","evm.TU.chromosome_5.1210","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"288","evm.TU.chromosome_5.2616","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"289","evm.TU.chromosome_5.1499","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"290","evm.TU.chromosome_5.2559","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"291","evm.TU.chromosome_5.1151","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"292","evm.TU.chromosome_5.2062","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"293","evm.TU.chromosome_5.2067","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"294","evm.TU.chromosome_5.2067","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"295","evm.TU.chromosome_5.2075","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"296","evm.TU.chromosome_5.914","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Biological Processes",0.0666666666666667
"297","evm.TU.chromosome_5.1513","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"298","evm.TU.chromosome_5.1754","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"299","evm.TU.chromosome_5.1754","GO:2000323","negative regulation of glucocorticoid receptor sign...",4,1,0.04,0.0346,"Biological Processes",0.25
"300","evm.TU.chromosome_5.1754","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"301","evm.TU.chromosome_5.1755","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"302","evm.TU.chromosome_5.1755","GO:2000323","negative regulation of glucocorticoid receptor sign...",4,1,0.04,0.0346,"Biological Processes",0.25
"303","evm.TU.chromosome_5.1755","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"304","evm.TU.chromosome_5.510","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"305","evm.TU.chromosome_5.1840","GO:0051026","chiasma assembly",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"306","evm.TU.chromosome_5.1840","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"307","evm.TU.chromosome_5.1840","GO:0051026","chiasma assembly",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"308","evm.TU.chromosome_5.1068","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"309","evm.TU.chromosome_5.1064","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"310","evm.TU.chromosome_5.1064","GO:0005997","xylulose metabolic process",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"311","evm.TU.chromosome_5.1067","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"312","evm.TU.chromosome_5.1067","GO:0005997","xylulose metabolic process",3,1,0.03,0.026,"Biological Processes",0.333333333333333
"313","evm.TU.chromosome_5.1063","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"314","evm.TU.chromosome_5.1332","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"315","evm.TU.chromosome_5.1333","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"316","evm.TU.chromosome_5.2788","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"317","evm.TU.chromosome_5.128","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Biological Processes",0.0810810810810811
"318","evm.TU.chromosome_5.520","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"319","evm.TU.chromosome_5.520","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"320","evm.TU.chromosome_5.1451","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"321","evm.TU.chromosome_5.2271","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"322","evm.TU.chromosome_5.2273","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"323","evm.TU.chromosome_5.2273","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"324","evm.TU.chromosome_5.636","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"325","evm.TU.chromosome_5.774","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"326","evm.TU.chromosome_5.1475","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"327","evm.TU.chromosome_5.1478","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"328","evm.TU.chromosome_5.1409","GO:1901657","glycosyl compound metabolic process",109,3,0.95,0.0343,"Biological Processes",0.0275229357798165
"329","evm.TU.chromosome_5.2540","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"330","evm.TU.chromosome_5.522","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"331","evm.TU.chromosome_5.522","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"332","evm.TU.chromosome_5.665","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"333","evm.TU.chromosome_5.1588","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"334","evm.TU.chromosome_5.1588","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"335","evm.TU.chromosome_5.2158","GO:0034983","peptidyl-lysine deacetylation",4,1,0.04,0.0346,"Biological Processes",0.25
"336","evm.TU.chromosome_5.2496","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"337","evm.TU.chromosome_5.2496","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"338","evm.TU.chromosome_5.211","GO:0090336","positive regulation of brown fat cell differentiati...",2,1,0.02,0.0174,"Biological Processes",0.5
